iter	Passed	Remaining
274	4761	12552
275	4778	12534
276	4803	12538
277	4827	12537
278	4850	12533
279	4869	12522
280	4903	12546
281	4931	12555
282	4968	12588
283	4986	12571
284	5006	12561
285	5021	12535
286	5034	12506
287	5049	12484
288	5059	12447
289	5073	12420
290	5090	12402
291	5105	12378
292	5116	12347
293	5128	12316
294	5147	12300
295	5158	12267
296	5170	12239
297	5184	12212
298	5196	12182
299	5205	12147
300	5223	12130
301	5239	12110
302	5253	12084
303	5282	12095
304	5298	12074
305	5322	12070
306	5352	12081
307	5379	12086
308	5422	12126
309	5489	12217
310	5508	12204
311	5524	12182
312	5541	12162
313	5575	12180
314	5591	12158
315	5603	12128
316	5610	12087
317	5623	12060
318	5635	12030
319	5643	11992
320	5655	11962
321	5666	11930
322	5672	11890
323	5682	11856
324	5689	11817
325	5700	11786
326	5707	11745
327	5716	11711
328	5722	11671
329	5734	11642
330	5740	11602
331	5750	11571
332	5758	11533
333	5767	11501
334	5774	11463
335	5787	11436
336	5798	11407
337	5805	11370
338	5814	11337
339	5822	11303
340	5833	11272
341	5840	11236
342	5849	11204
343	5856	11167
344	5869	11143
345	5879	11112
346	5886	11076
347	5896	11047
348	5902	11011
349	5914	10983
350	5920	10947
351	5930	10917
352	5938	10884
353	5947	10853
354	5954	10819
355	5966	10793
356	5984	10778
357	5998	10757
358	6013	10736
359	6021	10705
360	6032	10678
361	6043	10651
362	6054	10624
363	6064	10596
364	6070	10561
365	6084	10539
366	6095	10513
367	6102	10480
368	6111	10450
369	6117	10416
370	6128	10389
371	6134	10356
372	6145	10330
373	6152	10297
374	6162	10271
375	6169	10239
376	6180	10213
377	6191	10187
378	6198	10156
379	6212	10136
380	6219	10104
381	6229	10078
382	6239	10051
383	6246	10020
384	6256	9993
385	6263	9963
386	6273	9936
387	6280	9907
388	6290	9879
389	6296	9848
390	6307	9824
391	6314	9793
392	6323	9766
393	6330	9737
394	6342	9714
395	6349	9684
396	6360	9660
397	6366	9630
398	6374	9602
399	6381	9572
400	6391	9547
401	6401	9523
402	6409	9494
403	6418	9468
404	6425	9439
405	6434	9414
406	6443	9387
407	6457	9369
408	6472	9352
409	6489	9339
410	6501	9316
411	6510	9291
412	6523	9272
413	6535	9251
414	6542	9222
415	6552	9198
416	6558	9169
417	6568	9145
418	6575	9117
419	6584	9093
420	6591	9065
421	6603	9044
422	6610	9016
423	6620	8993
424	6627	8966
425	6636	8941
426	6643	8914
427	6654	8893
428	6661	8866
429	6672	8844
430	6680	8819
431	6687	8792
432	6700	8773
433	6707	8746
434	6718	8725
435	6724	8698
436	6733	8675
437	6741	8649
438	6751	8628
439	6759	8602
440	6767	8578
441	6774	8552
442	6785	8532
443	6792	8505
444	6802	8484
445	6810	8459
446	6818	8435
447	6825	8409
448	6835	8388
449	6849	8371
450	6866	8358
451	6887	8350
452	6900	8332
453	6913	8314
454	6921	8290
455	6934	8272
456	6945	8252
457	6974	8254
458	6988	8236
459	6998	8215
460	7014	8201
461	7029	8186
462	7042	8168
463	7057	8152
464	7065	8128
465	7076	8109
466	7089	8091
467	7097	8068
468	7110	8049
469	7124	8033
470	7137	8015
471	7146	7994
472	7158	7975
473	7171	7958
474	7179	7934
475	7196	7921
476	7209	7904
477	7239	7905
478	7247	7882
479	7257	7861
480	7268	7842
481	7275	7818
482	7287	7800
483	7294	7777
484	7306	7758
485	7316	7737
486	7323	7713
487	7333	7694
488	7340	7670
489	7352	7652
490	7359	7629
491	7370	7610
492	7384	7594
493	7392	7572
494	7405	7554
495	7417	7537
496	7425	7514
497	7437	7497
498	7449	7478
499	7456	7456
500	7472	7442
501	7486	7426
502	7496	7407
503	7504	7385
504	7517	7369
505	7531	7352
506	7540	7331
507	7550	7313
508	7564	7296
509	7572	7275
510	7585	7258
511	7599	7242
512	7606	7221
513	7619	7204
514	7631	7186
515	7646	7172
516	7655	7151
517	7669	7136
518	7679	7117
519	7687	7096
520	7701	7080
521	7713	7063
522	7721	7042
523	7733	7024
524	7746	7008
525	7754	6988
526	7767	6971
527	7781	6956
528	7793	6939
529	7802	6919
530	7811	6899
531	7819	6878
532	7831	6862
533	7843	6844
534	7852	6824
535	7863	6806
536	7875	6790
537	7883	6769
538	7893	6750
539	7907	6736
540	7915	6715
541	7926	6697
542	7933	6676
543	7942	6658
544	7950	6637
545	7963	6621
546	7975	6605
547	7982	6584
548	7993	6566
549	8000	6546
550	8014	6530
551	8023	6512
552	8029	6490
553	8040	6472
554	8046	6451
555	8078	6451
556	8092	6436
557	8100	6416
558	8114	6401
559	8128	6386
560	8144	6373
561	8160	6359
562	8230	6388
563	8245	6374
564	8255	6355
565	8261	6335
566	8273	6318
567	8280	6297
568	8292	6281
569	8298	6260
570	8308	6242
571	8319	6225
572	8327	6205
573	8338	6188
574	8345	6168
575	8357	6151
576	8363	6131
577	8374	6114
578	8384	6096
579	8391	6076
580	8403	6060
581	8410	6040
582	8420	6023
583	8433	6007
584	8440	5987
585	8451	5970
586	8461	5953
587	8470	5935
588	8477	5915
589	8488	5898
590	8494	5878
591	8506	5862
592	8516	5845
593	8524	5826
594	8536	5810
595	8544	5791
596	8552	5773
597	8563	5756
598	8571	5737
599	8583	5722
600	8592	5704
601	8599	5685
602	8612	5670
603	8621	5652
604	8632	5636
605	8643	5619
606	8653	5602
607	8665	5587
608	8679	5572
609	8688	5554
610	8699	5538
611	8731	5535
612	8738	5516
613	8749	5500
614	8759	5483
615	8766	5465
616	8776	5447
617	8782	5428
618	8794	5412
619	8800	5394
620	8812	5378
621	8818	5359
622	8827	5342
623	8835	5323
624	8845	5307
625	8853	5289
626	8863	5272
627	8874	5257
628	8882	5238
629	8891	5222
630	8898	5203
631	8908	5187
632	8914	5168
633	8926	5152
634	8933	5135
635	8945	5119
636	8958	5104
637	8965	5086
638	8977	5071
639	8984	5053
640	8996	5038
641	9007	5022
642	9014	5005
643	9025	4989
644	9032	4971
645	9043	4955
646	9055	4940
647	9063	4923
648	9074	4907
649	9081	4890
650	9092	4874
651	9098	4856
652	9111	4841
653	9122	4826
654	9128	4808
655	9139	4792
656	9146	4774
657	9158	4759
658	9164	4742
659	9177	4728
660	9189	4713
661	9196	4695
662	9208	4680
663	9222	4666
664	9228	4649
665	9240	4634
666	9248	4617
667	9254	4599
668	9260	4581
669	9272	4566
670	9279	4549
671	9287	4533
672	9294	4516
673	9303	4499
674	9315	4485
675	9322	4467
676	9334	4453
677	9342	4436
678	9350	4420
679	9358	4403
680	9369	4388
681	9380	4373
682	9388	4357
683	9404	4344
684	9416	4330
685	9424	4313
686	9434	4298
687	9448	4284
688	9456	4268
689	9468	4254
690	9478	4238
691	9486	4222
692	9498	4207
693	9505	4191
694	9514	4175
695	9521	4158
696	9533	4144
697	9544	4129
698	9550	4112
699	9561	4097
700	9567	4080
701	9580	4066
702	9587	4050
703	9599	4036
704	9610	4021
705	9617	4004
706	9629	3990
707	9636	3974
708	9645	3958
709	9652	3942
710	9663	3927
711	9670	3911
712	9682	3897
713	9692	3882
714	9700	3866
715	9710	3851
716	9716	3835
717	9726	3820
718	9734	3804
719	9744	3789
720	9751	3773
721	9764	3759
722	9774	3744
723	9780	3728
724	9792	3714
725	9799	3698
726	9809	3683
727	9816	3667
728	9825	3652
729	9832	3636
730	9844	3622
731	9854	3608
732	9862	3592
733	9872	3577
734	9886	3564
735	9897	3550
736	9904	3534
737	9914	3519
738	9922	3504
739	9934	3490
740	9945	3476
741	9952	3460
742	9964	3446
743	9977	3432
744	9985	3417
745	9994	3403
746	10002	3387
747	10016	3374
748	10023	3359
749	10032	3344
750	10043	3329
751	10050	3314
752	10060	3300
753	10067	3284
754	10078	3270
755	10085	3254
756	10095	3240
757	10103	3225
758	10114	3211
759	10125	3197
760	10132	3182
761	10142	3167
762	10152	3153
763	10160	3138
764	10168	3123
765	10180	3110
766	10191	3095
767	10197	3080
768	10205	3065
769	10212	3050
770	10223	3036
771	10230	3021
772	10247	3009
773	10262	2996
774	10278	2984
775	10291	2970
776	10298	2955
777	10312	2942
778	10323	2928
779	10331	2913
780	10340	2899
781	10347	2884
782	10358	2870
783	10365	2855
784	10378	2842
785	10387	2828
786	10394	2813
787	10406	2799
788	10413	2784
789	10426	2771
790	10436	2757
791	10444	2742
792	10454	2729
793	10461	2714
794	10473	2700
795	10480	2686
796	10493	2672
797	10505	2659
798	10513	2644
799	10524	2631
800	10536	2617
801	10544	2603
802	10554	2589
803	10562	2574
804	10574	2561
805	10585	2547
806	10593	2533
807	10604	2519
808	10610	2505
809	10621	2491
810	10628	2477
811	10639	2463
812	10645	2448
813	10656	2435
814	10667	2421
815	10675	2407
816	10684	2393
817	10690	2378
818	10701	2365
819	10709	2350
820	10721	2337
821	10729	2323
822	10737	2309
823	10744	2294
824	10754	2281
825	10760	2266
826	10772	2253
827	10782	2239
828	10789	2225
829	10799	2211
830	10806	2197
831	10815	2183
832	10822	2169
833	10834	2156
834	10841	2142
835	10853	2129
836	10862	2115
837	10868	2101
838	10880	2087
839	10887	2073
840	10897	2060
841	10904	2046
842	10914	2032
843	10921	2018
844	10932	2005
845	10938	1991
846	10950	1978
847	10957	1964
848	10967	1950
849	10976	1937
850	10983	1923
851	10995	1910
852	11002	1896
853	11016	1883
854	11029	1870
855	11036	1856
856	11046	1843
857	11053	1829
858	11064	1816
859	11073	1802
860	11081	1788
861	11090	1775
862	11097	1761
863	11109	1748
864	11115	1734
865	11125	1721
866	11133	1707
867	11146	1695
868	11157	1682
869	11164	1668
870	11175	1655
871	11181	1641
872	11193	1628
873	11201	1614
874	11210	1601
875	11221	1588
876	11228	1574
877	11237	1561
878	11245	1547
879	11254	1534
880	11261	1521
881	11271	1508
882	11278	1494
883	11290	1481
884	11297	1467
885	11306	1454
886	11313	1441
887	11323	1428
888	11329	1414
889	11338	1401
890	11345	1387
891	11355	1374
892	11362	1361
893	11373	1348
894	11380	1335
895	11389	1322
896	11396	1308
897	11410	1296
898	11420	1283
899	11427	1269
900	11436	1256
901	11443	1243
902	11454	1230
903	11461	1217
904	11470	1204
905	11477	1190
906	11487	1177
907	11495	1164
908	11505	1151
909	11511	1138
910	11521	1125
911	11529	1112
912	11539	1099
913	11551	1086
914	11559	1073
915	11569	1060
916	11576	1047
917	11587	1035
918	11594	1021
919	11602	1008
920	11609	995
921	11620	983
922	11626	969
923	11637	957
924	11644	944
925	11656	931
926	11668	918
927	11677	906
928	11688	893
929	11698	880
930	11705	867
931	11733	856
932	11740	843
933	11753	830
934	11764	817
935	11772	804
936	11781	792
937	11788	779
938	11799	766
939	11806	753
940	11825	741
941	11838	728
942	11849	716
943	11855	703
944	11864	690
945	11872	677
946	11883	665
947	11890	652
948	11901	639
949	11911	626
950	11919	614
951	11930	601
952	11939	588
953	11950	576
954	11957	563
955	11967	550
956	11979	538
957	11986	525
958	11996	512
959	12002	500
960	12013	487
961	12021	474
962	12031	462
963	12037	449
964	12048	436
965	12054	424
966	12066	411
967	12079	399
968	12085	386
969	12097	374
970	12104	361
971	12115	349
972	12127	336
973	12136	323
974	12146	311
975	12153	298
976	12164	286
977	12172	273
978	12181	261
979	12191	248
980	12198	236
981	12209	223
982	12217	211
983	12227	198
984	12234	186
985	12244	173
986	12252	161
987	12260	148
988	12266	136
989	12279	124
990	12290	111
991	12299	99
992	12308	86
993	12316	74
994	12327	61
995	12340	49
996	12347	37
997	12358	24
998	12366	12
999	12378	0
